#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000151625.1	PRJNA205630	SAMD00036537	BABH00000000.1	representative genome	7091	7091	Bombyx mori	strain=p50T (= Dazao)		latest	Scaffold	Major	Full	2008/04/28	ASM15162v1	The international silkworm genome sequencing consortium	GCA_000151625.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/625/GCF_000151625.1_ASM15162v1		
GCF_000004015.4	PRJNA19731	SAMN02953616	AAGE00000000.2	representative genome	7159	7159	Aedes aegypti	strain=Liverpool		latest	Scaffold	Minor	Full	2014/04/30	AaegL3	VectorBase	GCA_000004015.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/015/GCF_000004015.4_AaegL3		
GCF_001876365.2	PRJNA357111	SAMN05908721	MNAF00000000.2	representative genome	7160	7160	Aedes albopictus		C6/36	latest	Contig	Major	Full	2017/01/09	canu_80X_arrow2.2	J. Craig Venter Institute	GCA_001876365.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/876/365/GCF_001876365.2_canu_80X_arrow2.2		
GCF_000005575.2	PRJNA163	SAMN02952903	AAAB00000000.1	representative genome	180454	7165	Anopheles gambiae str. PEST	strain=PEST		latest	Chromosome	Major	Full	2006/10/16	AgamP3	The International Consortium for the Sequencing of Anopheles Genome	GCA_000005575.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/575/GCF_000005575.2_AgamP3		
GCF_000209185.1	PRJNA29017	SAMN02953674	AAWU00000000.1	representative genome	7176	7176	Culex quinquefasciatus	strain=JHB		latest	Scaffold	Major	Full	2007/04/23	CulPip1.0	Broad Institute	GCA_000209185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/185/GCF_000209185.1_CulPip1.0		
GCF_000183805.2	PRJNA60051	SAMN00103043	ADBU00000000.2	representative genome	7209	7209	Loa loa			latest	Scaffold	Major	Full	2012/07/06	Loa_loa_V3.1	Broad Institute	GCA_000183805.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/805/GCF_000183805.2_Loa_loa_V3.1		
GCF_000347755.2	PRJNA201381	SAMN02953830	AOHK00000000.1	representative genome	7213	7213	Ceratitis capitata			latest	Scaffold	Minor	Full	2013/03/21	Ccap_1.1	The i5k Initiative	GCA_000347755.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/347/755/GCF_000347755.2_Ccap_1.1		
GCF_000005115.1	PRJNA29979	SAMN02953648	AAPP00000000.1	representative genome	7217	7217	Drosophila ananassae	strain=TSC#14024-0371.13		latest	Scaffold	Major	Full	2006/06/30	dana_caf1	Agencourt Bioscience Corporation	GCA_000005115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/115/GCF_000005115.1_dana_caf1		
GCF_000005135.1	PRJNA29981	SAMN02953649	AAPQ00000000.1	representative genome	7220	7220	Drosophila erecta	strain=TSC#14021-0224.01		latest	Scaffold	Major	Full	2006/07/12	dere_caf1	Agencourt Bioscience Corporation	GCA_000005135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/135/GCF_000005135.1_dere_caf1		
GCF_000005155.2	PRJNA29983	SAMN02953650	AAPT00000000.1	representative genome	7222	7222	Drosophila grimshawi	strain=TSC#15287-2541.00		latest	Scaffold	Major	Full	2006/06/30	dgri_caf1	Agencourt Bioscience Corporation	GCA_000005155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/155/GCF_000005155.2_dgri_caf1		
GCF_000001215.4	PRJNA164	SAMN02803731		reference genome	7227	7227	Drosophila melanogaster			latest	Chromosome	Major	Full	2014/08/01	Release 6 plus ISO1 MT	The FlyBase Consortium/Berkeley Drosophila Genome Project/Celera Genomics	GCA_000001215.4	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT		
GCF_000269505.1	PRJNA325520	SAMN02953815	AJMI00000000.2	representative genome	7229	7229	Drosophila miranda	strain=MSH22		latest	Chromosome	Major	Full	2013/04/19	DroMir_2.2	University of California, Berkeley	GCA_000269505.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/269/505/GCF_000269505.1_DroMir_2.2		
GCF_000005175.2	PRJNA29977	SAMN02953651	AAPU00000000.1	representative genome	7230	7230	Drosophila mojavensis	strain=TSC#15081-1352.22		latest	Scaffold	Major	Full	2006/06/30	dmoj_caf1	Agencourt Bioscience Corporation	GCA_000005175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/175/GCF_000005175.2_dmoj_caf1		
GCF_001654015.1	PRJNA340011	SAMN04440794	LSRL00000000.1	representative genome	7232	7232	Drosophila navojoa		navoj_Jal97	latest	Scaffold	Major	Full	2016/05/09	ASM165401v1	Biotechnology Institute of UNAM	GCA_001654015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/654/015/GCF_001654015.1_ASM165401v1		
GCF_000005195.2	PRJNA29989	SAMN02953632	AAIZ00000000.1	representative genome	7234	7234	Drosophila persimilis	strain=MSH-3		latest	Scaffold	Major	Full	2006/04/18	dper_caf1	Broad Institute	GCA_000005195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/195/GCF_000005195.2_dper_caf1		
GCF_000001765.3	PRJNA18793	SAMN00779672	AADE00000000.1	representative genome	46245	7237	Drosophila pseudoobscura pseudoobscura	strain=MV2-25		latest	Chromosome	Major	Full	2013/04/11	Dpse_3.0	Baylor College of Medicine	GCA_000001765.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/765/GCF_000001765.3_Dpse_3.0		
GCF_000005215.3	PRJNA29991	SAMN02953639	AAKO00000000.1	representative genome	7238	7238	Drosophila sechellia	strain=Rob3c		latest	Scaffold	Major	Full	2006/04/18	dsec_caf1	Broad Institute	GCA_000005215.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/215/GCF_000005215.3_dsec_caf1		
GCF_000754195.2	PRJNA297806	SAMN01086904	JPYS00000000.1	representative genome	7240	7240	Drosophila simulans	strain=w501		latest	Chromosome	Minor	Full	2014/09/19	ASM75419v2	Princeton University	GCA_000754195.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/195/GCF_000754195.2_ASM75419v2		
GCF_000005245.1	PRJNA29995	SAMN02953641	AANI00000000.1	representative genome	7244	7244	Drosophila virilis	strain=TSC#15010-1051.87		latest	Scaffold	Major	Full	2006/07/12	dvir_caf1	Agencourt Bioscience Corporation	GCA_000005245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/245/GCF_000005245.1_dvir_caf1		
GCF_000005975.2	PRJNA29999	SAMN02952910	AAEU00000000.2	representative genome	7245	7245	Drosophila yakuba	strain=Tai18E2		latest	Chromosome	Major	Full	2006/06/27	dyak_caf1	FlyBase	GCA_000005975.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/975/GCF_000005975.2_dyak_caf1		
GCF_000005925.1	PRJNA29997	SAMN02953653	AAQB00000000.1	representative genome	7260	7260	Drosophila willistoni	strain=TSC#14030-0811.24		latest	Scaffold	Major	Full	2006/08/03	dwil_caf1	J. Craig Venter Institute	GCA_000005925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/925/GCF_000005925.1_dwil_caf1		
GCF_001654025.1	PRJNA339865	SAMN04440796	LSRM00000000.1	representative genome	7263	7263	Drosophila arizonae		ariz_Son04	latest	Scaffold	Major	Full	2016/05/09	ASM165402v1	Biotechnology Institute of UNAM	GCA_001654025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/654/025/GCF_001654025.1_ASM165402v1		
GCF_000371365.1	PRJNA210139	SAMN02953849	AQPM00000000.1	representative genome	7370	7370	Musca domestica	strain=aabys		latest	Scaffold	Major	Full	2013/04/22	Musca_domestica-2.0.2	Glossina Genomes Consortium	GCA_000371365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/371/365/GCF_000371365.1_Musca_domestica-2.0.2		
GCF_000002325.3	PRJNA20073	SAMN02902141	AAZX00000000.1	representative genome	7425	7425	Nasonia vitripennis	strain=AsymCX		latest	Chromosome	Major	Full	2012/11/28	Nvit_2.1	Baylor College of Medicine	GCA_000002325.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/325/GCF_000002325.3_Nvit_2.1		
GCF_000002195.4	PRJNA13343	SAMN00002455	AADG00000000.6	representative genome	7460	7460	Apis mellifera	strain=DH4		latest	Chromosome	Major	Full	2011/01/14	Amel_4.5	Human Genome Sequencing Center	GCA_000002195.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/195/GCF_000002195.4_Amel_4.5		
GCF_001442555.1	PRJNA324433	SAMN02592885	JANR00000000.1	representative genome	7461	7461	Apis cerana	strain=Korean		latest	Scaffold	Major	Full	2015/11/12	ACSNU-2.0	Seoul National University	GCA_001442555.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/442/555/GCF_001442555.1_ACSNU-2.0		
GCF_000469605.1	PRJNA232132	SAMN02954476	AUPE00000000.1	representative genome	7462	7462	Apis dorsata			latest	Scaffold	Major	Full	2013/09/24	Apis dorsata 1.3	Cold Spring Harbor Laboratory	GCA_000469605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/605/GCF_000469605.1_Apis_dorsata_1.3		
GCF_000184785.2	PRJNA86991	SAMN00009081	AEKZ00000000.1	representative genome	7463	7463	Apis florea			latest	Scaffold	Minor	Full	2012/12/07	Aflo_1.0	Baylor College of Medicine	GCA_000184785.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/785/GCF_000184785.2_Aflo_1.0		
GCF_000599845.1	PRJNA297592	SAMN02439301	JARR00000000.1	representative genome	7493	7493	Trichogramma pretiosum			latest	Scaffold	Major	Full	2014/03/24	Tpre_1.0	The i5k Initiative	GCA_000599845.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/845/GCF_000599845.1_Tpre_1.0		
GCF_001039355.1	PRJNA293030	SAMN03770811	LFEI00000000.1	representative genome	7574	7574	Lingula anatina		Amm_Jpn	latest	Scaffold	Major	Full	2015/06/24	LinAna1.0	Okinawa Institute of Science and Technology Graduate University (OIST)	GCA_001039355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/039/355/GCF_001039355.1_LinAna1.0		
GCF_000002235.4	PRJNA13728	SAMN00829422	AAGJ00000000.5	representative genome	7668	7668	Strongylocentrotus purpuratus		Spur 01	latest	Scaffold	Major	Full	2015/03/10	Spur_4.2	Baylor College of Medicine	GCA_000002235.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/235/GCF_000002235.4_Spur_4.2		
GCF_000224145.2	PRJNA187185		EAAA00000000.1	representative genome	7719	7719	Ciona intestinalis			latest	Chromosome	Major	Full	2013/09/17	KH	Department of Zoology, Graduate School of Science; Sakyo-ku, Kyoto	GCA_000224145.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/145/GCF_000224145.2_KH		
GCF_000003815.1	PRJNA33245	SAMN02953694	ABEP00000000.2	representative genome	7739	7739	Branchiostoma floridae	strain=S238N-H82		latest	Scaffold	Major	Full	2009/05/01	Version 2	DOE Joint Genome Institute	GCA_000003815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.1_Version_2		
GCF_001625305.1	PRJNA358734	SAMN04869859	AYSS00000000.1	representative genome	7741	7741	Branchiostoma belcheri	breed=outbred	BF01	latest	Scaffold	Major	Full	2016/04/21	Haploidv18h27	Sun Yat-sen University	GCA_001625305.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/625/305/GCF_001625305.1_Haploidv18h27		
GCF_000003605.2	PRJNA42857	SAMN00102747	ACQM00000000.1	representative genome	10224	10224	Saccoglossus kowalevskii			latest	Scaffold	Major	Full	2009/09/09	Skow_1.1	Baylor College of Medicine	GCA_000003605.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/605/GCF_000003605.2_Skow_1.1		
GCF_000150275.1	PRJNA30931	SAMN02953699	ABGP00000000.1	representative genome	10228	10228	Trichoplax adhaerens	strain=Grell-BS-1999		latest	Scaffold	Major	Full	2008/06/17	v1.0	US DOE Joint Genome Institute (JGI-PGF)	GCA_000150275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/275/GCF_000150275.1_v1.0		
GCF_000143395.1	PRJNA279976	SAMN02953774	ADTU00000000.1	representative genome	12957	12957	Atta cephalotes			latest	Scaffold	Major	Full	2010/07/06	Attacep1.0	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000143395.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/395/GCF_000143395.1_Attacep1.0		
GCF_000188075.1	PRJNA268798	SAMN02953778	AEAQ00000000.1	representative genome	13686	13686	Solenopsis invicta			latest	Scaffold	Major	Full	2011/02/08	Si_gnG	University of Lausanne	GCA_000188075.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/075/GCF_000188075.1_Si_gnG		
GCF_000789215.1	PRJNA273958	SAMN02203716	JFBF00000000.1	representative genome	27457	27457	Bactrocera dorsalis	strain=Punador		latest	Scaffold	Major	Full	2014/12/03	ASM78921v2	USDA-ARS	GCA_000789215.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/215/GCF_000789215.1_ASM78921v2		
GCF_000472105.1	PRJNA325161	SAMN02953868	AWUT00000000.1	representative genome	28584	28584	Drosophila suzukii			latest	Scaffold	Major	Full	2013/09/30	Dsuzukii.v01	BGI	GCA_000472105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/472/105/GCF_000472105.1_Dsuzukii.v01		
GCF_000806345.1	PRJNA273817	SAMN03083541	JRNW00000000.1	representative genome	28588	28588	Bactrocera cucurbitae	strain=USDA-PBARC White Pupae T1		latest	Scaffold	Major	Full	2014/12/23	ASM80634v1	USDA ARS	GCA_000806345.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/806/345/GCF_000806345.1_ASM80634v1		
GCF_001687245.1	PRJNA331175	SAMN04977950	LYWK00000000.1	representative genome	28612	28612	Rhagoletis zephyria		East Lansing	latest	Scaffold	Major	Full	2016/07/19	Rhagoletis_zephyria_1.0	University of Illinois at Urbana-Champaign	GCA_001687245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/687/245/GCF_001687245.1_Rhagoletis_zephyria_1.0		
GCF_000236325.1	PRJNA325514	SAMN00715289	AFPQ00000000.2	representative genome	29029	29029	Drosophila eugracilis			latest	Scaffold	Major	Full	2013/03/04	Deug_2.0	The modENCODE Project	GCA_000236325.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/325/GCF_000236325.1_Deug_2.0		
GCF_000224235.1	PRJNA325506	SAMN00715130	AFFI00000000.2	representative genome	29030	29030	Drosophila takahashii			latest	Scaffold	Major	Full	2013/03/04	Dtak_2.0	Baylor College of Medicine	GCA_000224235.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/235/GCF_000224235.1_Dtak_2.0		
GCF_000648655.1	PRJNA297581	SAMN02265491	JBOX00000000.1	representative genome	29053	29053	Copidosoma floridanum		CFLO.00-Male	latest	Scaffold	Major	Full	2014/05/01	Cflo_1.0	The i5k Initiative	GCA_000648655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/655/GCF_000648655.1_Cflo_1.0		
GCF_000297895.1	PRJNA276446	SAMN00690713	AFTI00000000.1	representative genome	29159	29159	Crassostrea gigas	strain=05x7-T-G4-1.051#20		latest	Scaffold	Major	Full	2012/09/19	oyster_v9	BGI-Shenzhen	GCA_000297895.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/895/GCF_000297895.1_oyster_v9		
GCF_001277935.1	PRJNA340176	SAMN03339664		representative genome	30019	30019	Drosophila busckii			latest	Chromosome	Major	Full	2015/09/02	ASM127793v1	University of California, Berkeley	GCA_001277935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/277/935/GCF_001277935.1_ASM127793v1		
GCF_000224195.1	PRJNA325515	SAMN00715014	AFFF00000000.2	representative genome	30023	30023	Drosophila elegans			latest	Scaffold	Major	Full	2013/03/04	Dele_2.0	Baylor College of Medicine	GCA_000224195.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/195/GCF_000224195.1_Dele_2.0		
GCF_000220665.1	PRJNA325513	SAMN00715126	AFFG00000000.2	representative genome	30025	30025	Drosophila ficusphila			latest	Scaffold	Major	Full	2013/03/04	Dfic_2.0	Baylor College of Medicine	GCA_000220665.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/665/GCF_000220665.1_Dfic_2.0		
GCF_000224215.1	PRJNA325512	SAMN00715127	AFFH00000000.2	representative genome	30033	30033	Drosophila kikkawai			latest	Scaffold	Major	Full	2013/03/04	Dkik_2.0	Baylor College of Medicine	GCA_000224215.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/215/GCF_000224215.1_Dkik_2.0		
GCF_000214255.1	PRJNA68545	SAMN00009041	AELG00000000.1	representative genome	30195	30195	Bombus terrestris			latest	Chromosome	Major	Full	2011/06/03	Bter_1.0	Baylor College of Medicine	GCA_000214255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/255/GCF_000214255.1_Bter_1.0		
GCF_000149515.1	PRJNA53967	SAMN00627085	AAGD00000000.2	representative genome	31234	31234	Caenorhabditis remanei	strain=PB4641		latest	Scaffold	Major	Full	2007/07/19	ASM14951v1	The Caenorhabditis remanei Sequencing Consortium	GCA_000149515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/515/GCF_000149515.1_ASM14951v1		
GCF_000239435.1	PRJNA315122	SAMEA2272276	CAEY00000000.1	representative genome	32264	32264	Tetranychus urticae	strain=London		latest	Scaffold	Major	Full	2011/12/20	ASM23943v1	DOE Joint Genome Institute	GCA_000239435.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/435/GCF_000239435.1_ASM23943v1		
GCF_000255335.1	PRJNA166945	SAMN00849407	AFFJ00000000.1	representative genome	34638	34638	Galendromus occidentalis			latest	Scaffold	Major	Full	2012/03/27	Mocc_1.0	Baylor College of Medicine	GCA_000255335.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/335/GCF_000255335.1_Mocc_1.0		
GCF_001594115.1	PRJNA343973	SAMN03982881	LKEZ00000000.1	representative genome	34720	34720	Trachymyrmex septentrionalis		Tsep2-gDNA-1	latest	Scaffold	Major	Full	2016/03/25	Tsep1.0	BGI	GCA_001594115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/115/GCF_001594115.1_Tsep1.0		
GCF_001015335.1	PRJNA288986	SAMN03486548	LDNW00000000.1	representative genome	35570	35570	Stomoxys calcitrans	breed=8C7A2A5H3J4		latest	Scaffold	Major	Full	2015/05/31	Stomoxys_calcitrans-1.0.1	Glossina Genomes Consortium	GCA_001015335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/015/335/GCF_001015335.1_Stomoxys_calcitrans-1.0.1		
GCF_000344095.1	PRJNA282653	SAMN02953829	AOFN00000000.1	representative genome	37344	37344	Athalia rosae			latest	Scaffold	Major	Full	2013/03/05	Aros_1.0	The i5k Initiative	GCA_000344095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/344/095/GCF_000344095.1_Aros_1.0		
GCF_000485595.1	PRJNA303167	SAMN02953874	AXZU00000000.2	representative genome	37621	37621	Priapulus caudatus			latest	Scaffold	Major	Full	2015/11/19	Priapulus_caudatus-5.0.1	Washington University (WashU)	GCA_000485595.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/485/595/GCF_000485595.1_Priapulus_caudatus-5.0.1		
GCF_001194135.1	PRJNA305125	SAMN03271701	LGKD00000000.1	representative genome	37653	37653	Octopus bimaculoides		UCB-OBI-ISO-001	latest	Scaffold	Major	Full	2015/08/18	Octopus_bimaculoides_v2_0	Vincent J. Coates Genomic Sequencing Laboratory at UC Berkeley	GCA_001194135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/194/135/GCF_001194135.1_Octopus_bimaculoides_v2_0		
GCF_000236285.1	PRJNA325516	SAMN00714473	AFFE00000000.2	representative genome	42026	42026	Drosophila bipectinata			latest	Scaffold	Major	Full	2013/03/04	Dbip_2.0	Baylor College of Medicine	GCA_000236285.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/285/GCF_000236285.1_Dbip_2.0		
